family,cluster_config,load,policy,baseline,n_pairs,mean_delta_throughput_horizon,sd_delta_throughput_horizon,ci95_low_delta_throughput_horizon,ci95_high_delta_throughput_horizon,wins_throughput_horizon,losses_throughput_horizon,ties_throughput_horizon,mean_delta_p95_wait_time,sd_delta_p95_wait_time,ci95_low_delta_p95_wait_time,ci95_high_delta_p95_wait_time,wins_p95_wait_time,losses_p95_wait_time,ties_p95_wait_time,mean_delta_mean_wait_time,sd_delta_mean_wait_time,ci95_low_delta_mean_wait_time,ci95_high_delta_mean_wait_time,wins_mean_wait_time,losses_mean_wait_time,ties_mean_wait_time,mean_delta_queued_at_horizon,sd_delta_queued_at_horizon,ci95_low_delta_queued_at_horizon,ci95_high_delta_queued_at_horizon,wins_queued_at_horizon,losses_queued_at_horizon,ties_queued_at_horizon,mean_delta_completion_ratio_horizon,sd_delta_completion_ratio_horizon,ci95_low_delta_completion_ratio_horizon,ci95_high_delta_completion_ratio_horizon,wins_completion_ratio_horizon,losses_completion_ratio_horizon,ties_completion_ratio_horizon,mean_delta_time_weighted_cpu_utilization,sd_delta_time_weighted_cpu_utilization,ci95_low_delta_time_weighted_cpu_utilization,ci95_high_delta_time_weighted_cpu_utilization,wins_time_weighted_cpu_utilization,losses_time_weighted_cpu_utilization,ties_time_weighted_cpu_utilization,mean_delta_time_weighted_ram_utilization,sd_delta_time_weighted_ram_utilization,ci95_low_delta_time_weighted_ram_utilization,ci95_high_delta_time_weighted_ram_utilization,wins_time_weighted_ram_utilization,losses_time_weighted_ram_utilization,ties_time_weighted_ram_utilization,mean_delta_time_weighted_queue_length,sd_delta_time_weighted_queue_length,ci95_low_delta_time_weighted_queue_length,ci95_high_delta_time_weighted_queue_length,wins_time_weighted_queue_length,losses_time_weighted_queue_length,ties_time_weighted_queue_length,mean_delta_time_weighted_active_nodes,sd_delta_time_weighted_active_nodes,ci95_low_delta_time_weighted_active_nodes,ci95_high_delta_time_weighted_active_nodes,wins_time_weighted_active_nodes,losses_time_weighted_active_nodes,ties_time_weighted_active_nodes,mean_delta_drained_throughput,sd_delta_drained_throughput,ci95_low_delta_drained_throughput,ci95_high_delta_drained_throughput,wins_drained_throughput,losses_drained_throughput,ties_drained_throughput
balanced,hetero,low,tetris,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000113123,0.000357727,-0.000369026,0.000142779,0,1,9,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000007671,0.000024259,-0.000009683,0.000025025,1,0,9,0.000004016,0.000012700,-0.000005069,0.000013101,1,0,9,-0.001988707,0.006288842,-0.006487473,0.002510060,0,1,9,4.505364110,0.809655173,3.926171733,5.084556488,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
balanced,hetero,low,hybrid,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000488420,0.001544520,-0.000616463,0.001593303,1,0,9,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000041602,0.000131557,-0.000135713,0.000052508,0,1,9,-0.000021780,0.000068873,-0.000071049,0.000027489,0,1,9,0.008586425,0.027152660,-0.010837417,0.028010267,1,0,9,3.042235867,0.610138623,2.605769021,3.478702714,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
balanced,hetero,med,spread,binpack,10,-0.026000000,0.050815571,-0.062351267,0.010351267,2,8,0,0.104481020,0.350460175,-0.146223069,0.355185108,8,2,0,0.064839813,0.066111512,0.017546489,0.112133136,8,2,0,2.000000000,4.760952286,-1.405779851,5.405779851,8,2,0,-0.001111642,0.002175781,-0.002668102,0.000444818,2,8,0,-0.002527661,0.002070387,-0.004008726,-0.001046595,1,9,0,-0.001493735,0.001179852,-0.002337750,-0.000649720,1,9,0,1.369265423,1.301303909,0.438368752,2.300162094,9,1,0,2.203300659,0.359082406,1.946428598,2.460172719,10,0,0,-0.033942375,0.052200632,-0.071284455,0.003399704,3,7,0
balanced,hetero,med,tetris,binpack,10,-0.032000000,0.055936472,-0.072014539,0.008014539,3,7,0,0.194399339,0.436108865,-0.117574127,0.506372805,6,4,0,0.072616342,0.049306872,0.037344334,0.107888351,9,1,0,1.400000000,4.427188724,-1.767019800,4.567019800,6,4,0,-0.001396767,0.002416538,-0.003125454,0.000331919,3,7,0,-0.002717363,0.002113012,-0.004228921,-0.001205805,1,9,0,-0.001602638,0.001195030,-0.002457511,-0.000747766,1,9,0,1.530338642,1.050633562,0.778760723,2.281916562,9,1,0,0.779473472,0.332599723,0.541545980,1.017400964,10,0,0,-0.040047667,0.083716530,-0.099934861,0.019839527,3,7,0
balanced,hetero,med,hybrid,binpack,10,-0.036000000,0.076478029,-0.090709082,0.018709082,2,8,0,0.204781345,0.350540135,-0.045979943,0.455542633,6,4,0,0.073396525,0.054021251,0.034752053,0.112040997,10,0,0,1.200000000,5.672545970,-2.857894642,5.257894642,6,4,0,-0.001538066,0.003297869,-0.003897219,0.000821087,2,8,0,-0.002699899,0.001875166,-0.004041312,-0.001358486,1,9,0,-0.001578963,0.001108360,-0.002371836,-0.000786090,1,9,0,1.556631608,1.151102070,0.733182852,2.380080364,10,0,0,0.260794039,0.285102192,0.056844233,0.464743846,10,0,0,-0.017169019,0.106606970,-0.093431046,0.059093008,4,6,0
balanced,hetero,high,spread,binpack,10,0.110000000,0.165797735,-0.008604546,0.228604546,7,3,0,0.330988540,0.735480498,-0.195142475,0.857119556,7,3,0,-0.167657881,0.234233951,-0.335218744,-0.000097018,0,10,0,-6.800000000,11.073491871,-14.721498313,1.121498313,2,7,1,0.003645007,0.005538003,-0.000316642,0.007606655,7,3,0,-0.000550410,0.003095669,-0.002764918,0.001664098,5,5,0,-0.000314640,0.001766101,-0.001578032,0.000948753,5,5,0,-4.363918979,5.474133340,-8.279877786,-0.447960172,0,10,0,1.594530464,0.182113282,1.464254479,1.724806448,10,0,0,-0.020551942,0.069619449,-0.070354692,0.029250808,4,6,0
balanced,hetero,high,tetris,binpack,10,0.126000000,0.180628532,-0.003213859,0.255213859,8,2,0,-0.235180643,0.682851365,-0.723663048,0.253301762,4,6,0,-0.129447249,0.205051266,-0.276132078,0.017237579,3,7,0,-7.000000000,12.064640714,-15.630523432,1.630523432,3,7,0,0.004124672,0.006021035,-0.000182516,0.008431861,8,2,0,-0.001274010,0.002182275,-0.002835115,0.000287096,3,7,0,-0.000692950,0.001185872,-0.001541271,0.000155372,3,7,0,-4.162054866,5.515115048,-8.107330219,-0.216779514,1,9,0,0.528741765,0.122070420,0.441417853,0.616065677,10,0,0,-0.036720737,0.061699809,-0.080858119,0.007416644,2,8,0
balanced,hetero,high,hybrid,binpack,10,0.098000000,0.131131825,0.004193950,0.191806050,7,2,1,0.263804194,0.591495182,-0.159325939,0.686934326,6,4,0,-0.151700963,0.185106394,-0.284118090,-0.019283835,2,8,0,-5.700000000,8.794569031,-11.991255239,0.591255239,3,7,0,0.003286162,0.004276707,0.000226791,0.006345533,7,2,1,-0.000834609,0.002718880,-0.002779579,0.001110361,5,5,0,-0.000493051,0.001628555,-0.001658049,0.000671947,5,5,0,-4.031338378,4.464439705,-7.225005923,-0.837670834,1,9,0,0.145391535,0.066772940,0.097625055,0.193158015,10,0,0,-0.023293183,0.097486387,-0.093030738,0.046444373,4,6,0
cpu_heavy,homog,low,spread,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.001016106,0.002441242,-0.000730254,0.002762465,4,0,6,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,-0.000000000,0.000000000,0,0,10,0.011244142,0.027149960,-0.008177768,0.030666052,4,0,6,7.628662246,0.926635391,6.965787268,8.291537225,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
cpu_heavy,homog,low,tetris,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.001673757,0.002179897,0.000114352,0.003233161,7,0,3,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000050112,0.000102266,-0.000123269,0.000023045,0,3,7,-0.000007517,0.000015340,-0.000018490,0.000003457,0,3,7,0.018467840,0.024212578,0.001147207,0.035788474,7,0,3,7.628456736,0.926673713,6.965554344,8.291359129,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
cpu_heavy,homog,low,hybrid,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.001330135,0.001988731,-0.000092518,0.002752787,6,0,4,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000055831,0.000125697,-0.000145749,0.000034088,0,2,8,-0.000008375,0.000018855,-0.000021862,0.000005113,0,2,8,0.014700826,0.022071609,-0.001088251,0.030489903,6,0,4,7.463238510,0.917870007,6.806633909,8.119843111,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
cpu_heavy,homog,med,spread,binpack,10,-0.050000000,0.082327260,-0.108893370,0.008893370,3,7,0,0.788204208,0.913908561,0.134433455,1.441974962,9,1,0,0.109430124,0.057501383,0.068296116,0.150564132,9,1,0,1.900000000,5.279941077,-1.877042041,5.677042041,7,2,1,-0.003218299,0.005228833,-0.006958780,0.000522182,3,7,0,-0.004697796,0.001744961,-0.005946066,-0.003449526,0,10,0,-0.000533704,0.000613420,-0.000972518,-0.000094890,1,9,0,1.557647941,0.811706045,0.976988457,2.138307424,10,0,0,2.356085140,0.237556860,2.186147212,2.526023068,10,0,0,-0.125372031,0.056465979,-0.165765356,-0.084978705,0,10,0
cpu_heavy,homog,med,tetris,binpack,10,-0.082000000,0.068280467,-0.130844900,-0.033155100,1,9,0,1.569145355,1.060676186,0.810383375,2.327907336,10,0,0,0.196364923,0.075844679,0.142108912,0.250620933,10,0,0,4.000000000,4.690415760,0.644678936,7.355321064,8,2,0,-0.005331617,0.004333475,-0.008431598,-0.002231636,1,9,0,-0.009049759,0.003129284,-0.011288314,-0.006811204,0,10,0,-0.001146015,0.000608012,-0.001580960,-0.000711069,0,10,0,2.785426388,1.216093904,1.915485278,3.655367498,10,0,0,2.356085140,0.237556860,2.186147212,2.526023068,10,0,0,-0.154964718,0.050303684,-0.190949803,-0.118979633,0,10,0
cpu_heavy,homog,med,hybrid,binpack,10,-0.074000000,0.073060097,-0.126264041,-0.021735959,1,9,0,1.447750815,1.133114104,0.637169873,2.258331756,10,0,0,0.202193694,0.089651199,0.138061094,0.266326294,10,0,0,3.800000000,4.802776974,0.364300571,7.235699429,8,2,0,-0.004845110,0.004585033,-0.008125045,-0.001565175,1,9,0,-0.008640763,0.004069237,-0.011551719,-0.005729806,0,10,0,-0.001095306,0.000587850,-0.001515829,-0.000674783,1,9,0,2.898509994,1.379863687,1.911415047,3.885604941,10,0,0,2.236198778,0.249684544,2.057585228,2.414812328,10,0,0,-0.129495029,0.065763215,-0.176539196,-0.082450862,0,10,0
cpu_heavy,homog,high,spread,binpack,10,0.038000000,0.116409240,-0.045274148,0.121274148,7,2,1,0.581830132,0.892014182,-0.056278327,1.219938591,8,2,0,-0.037474329,0.152820139,-0.146795263,0.071846605,5,5,0,-3.200000000,8.916900308,-9.578765756,3.178765756,3,7,0,0.001886649,0.005641409,-0.002148971,0.005922270,7,2,1,-0.003468467,0.003250884,-0.005794009,-0.001142925,2,8,0,-0.000407599,0.001355007,-0.001376913,0.000561714,3,7,0,-1.123984943,2.656791843,-3.024539199,0.776569313,4,6,0,1.747400147,0.170865121,1.625170611,1.869629682,10,0,0,-0.071383962,0.100545731,-0.143310040,0.000542116,3,7,0
cpu_heavy,homog,high,tetris,binpack,10,0.028000000,0.148234049,-0.078040243,0.134040243,6,4,0,0.917403462,2.202903284,-0.658458502,2.493265427,7,3,0,-0.029750029,0.252849273,-0.210627490,0.151127432,6,4,0,-2.100000000,9.949316001,-9.217311399,5.017311399,4,5,1,0.001337900,0.007230904,-0.003834777,0.006510577,6,4,0,-0.006415832,0.003627478,-0.009010773,-0.003820891,1,9,0,0.000185548,0.001942057,-0.001203715,0.001574812,4,6,0,-1.351820957,3.746988367,-4.032254769,1.328612855,3,7,0,1.747400147,0.170865121,1.625170611,1.869629682,10,0,0,-0.078012941,0.118731468,-0.162948311,0.006922428,3,7,0
cpu_heavy,homog,high,hybrid,binpack,10,0.006000000,0.127209364,-0.085000090,0.097000090,5,4,1,0.631179020,1.798780611,-0.655591020,1.917949060,7,3,0,-0.026731944,0.246761316,-0.203254343,0.149790455,6,4,0,-1.500000000,9.192388155,-8.075837876,5.075837876,4,6,0,0.000244250,0.006306461,-0.004267120,0.004755620,5,4,1,-0.005289963,0.003303182,-0.007652916,-0.002927009,1,9,0,-0.000020000,0.001828986,-0.001328378,0.001288377,5,5,0,-1.219946439,3.462975248,-3.697209520,1.257316642,6,4,0,1.657427093,0.161788974,1.541690242,1.773163945,10,0,0,-0.054652819,0.143977680,-0.157648239,0.048342601,4,6,0
cpu_heavy,hetero,low,spread,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000670716,0.002035097,-0.000785105,0.002126536,2,0,8,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,10,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,10,0.007497092,0.022796576,-0.008810595,0.023804779,2,0,8,6.586155480,0.818885003,6.000360480,7.171950479,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
cpu_heavy,hetero,low,tetris,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.001173995,0.003089968,-0.001036434,0.003384425,3,0,7,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000005698,0.000018020,-0.000018589,0.000007192,0,1,9,-0.000000746,0.000002358,-0.000002433,0.000000941,0,1,9,0.012987752,0.034624659,-0.011781235,0.037756740,3,0,7,5.864168261,0.840278365,5.263069373,6.465267148,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
cpu_heavy,hetero,low,hybrid,binpack,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.001342653,0.003090151,-0.000867907,0.003553214,3,0,7,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10,-0.000000394,0.000001245,-0.000001285,0.000000497,0,1,9,-0.000000052,0.000000163,-0.000000168,0.000000065,0,1,9,0.014785160,0.034427200,-0.009842574,0.039412893,3,0,7,5.564693530,0.814531593,4.982012771,6.147374288,10,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,10
cpu_heavy,hetero,med,spread,binpack,10,-0.012000000,0.040221608,-0.040772803,0.016772803,2,5,3,0.375737889,0.498498482,0.019133584,0.732342195,7,3,0,0.051628174,0.052394364,0.014147506,0.089108841,9,1,0,0.600000000,2.590581230,-1.253190040,2.453190040,6,3,1,-0.000753045,0.002657543,-0.002654137,0.001148047,2,5,3,-0.002329414,0.002828909,-0.004353094,-0.000305735,2,8,0,-0.000226443,0.000468564,-0.000561634,0.000108747,3,7,0,0.724355333,0.631860097,0.272349881,1.176360785,9,1,0,2.056673999,0.242511446,1.883191775,2.230156224,10,0,0,-0.058990960,0.088671427,-0.122422673,0.004440753,3,7,0
cpu_heavy,hetero,med,tetris,binpack,10,-0.068000000,0.041311822,-0.097552695,-0.038447305,0,10,0,0.802099971,0.922457383,0.142213759,1.461986183,8,1,1,0.169900363,0.076663999,0.115058246,0.224742480,10,0,0,4.100000000,2.378141198,2.398780393,5.801219607,10,0,0,-0.004364289,0.002746785,-0.006329220,-0.002399358,0,10,0,-0.007028407,0.004034827,-0.009914748,-0.004142066,0,10,0,-0.001091265,0.000590243,-0.001513500,-0.000669031,0,10,0,2.326880790,1.003538552,1.608992609,3.044768972,10,0,0,1.547779847,0.248517411,1.370001213,1.725558480,10,0,0,-0.101161070,0.076504405,-0.155889021,-0.046433120,1,9,0
cpu_heavy,hetero,med,hybrid,binpack,10,-0.076000000,0.047888760,-0.110257553,-0.041742447,1,9,0,0.555899735,0.748354244,0.020559397,1.091240074,8,2,0,0.178982836,0.118906087,0.093922551,0.264043120,10,0,0,4.100000000,2.601281735,2.239155280,5.960844720,9,0,1,-0.004816757,0.002998367,-0.006961660,-0.002671854,1,9,0,-0.006137880,0.004297185,-0.009211901,-0.003063859,0,10,0,-0.001119544,0.000895405,-0.001760078,-0.000479010,0,10,0,2.578677918,1.723369589,1.345853670,3.811502166,10,0,0,1.350398735,0.249849876,1.171666914,1.529130556,10,0,0,-0.077099940,0.108212061,-0.154510179,0.000310300,3,7,0
cpu_heavy,hetero,high,spread,binpack,10,0.042000000,0.118677902,-0.042897051,0.126897051,5,5,0,0.741158789,1.419082349,-0.273991497,1.756309074,7,3,0,-0.053103866,0.172499795,-0.176502777,0.070295045,3,7,0,-2.400000000,6.834552737,-7.289144148,2.489144148,5,5,0,0.002127842,0.005922070,-0.002108552,0.006364236,5,5,0,-0.003292392,0.004477348,-0.006495294,-0.000089490,3,7,0,0.000124401,0.001390583,-0.000870362,0.001119164,5,5,0,-1.230366977,2.307034666,-2.880720039,0.419986086,3,7,0,1.500053170,0.157107933,1.387664933,1.612441407,10,0,0,-0.022875083,0.039970757,-0.051468438,0.005718272,3,7,0
cpu_heavy,hetero,high,tetris,binpack,10,0.016000000,0.152257093,-0.092918155,0.124918155,5,4,1,1.041436774,1.196338311,0.185627963,1.897245584,9,1,0,0.029291135,0.201564718,-0.114899568,0.173481838,5,5,0,-1.100000000,9.746224340,-8.072028387,5.872028387,4,5,1,0.000755268,0.007504142,-0.004612872,0.006123407,5,4,1,-0.005677486,0.003775019,-0.008377972,-0.002977000,0,10,0,-0.000584361,0.001815210,-0.001882884,0.000714162,3,7,0,-0.068871956,3.308498916,-2.435629333,2.297885421,6,4,0,1.141087821,0.173008912,1.017324709,1.264850932,10,0,0,-0.046781262,0.051246745,-0.083440972,-0.010121552,2,8,0
